order,kp_real,kp_imag,ki_real,ki_imag,enabled
1,0.5,-0.03,0.5,-0.0826282,1
2,0,0,0,0,0
3,0.001,-0.4,0.047576,-0.16627,1
4,0,0,0,0,0
5,0.01,0.01,0.244118,0.335363,1
6,0,0,0,0,0
7,0.001,0.001,0.176966,0.158306,1
8,0,0,0,0,0
9,0.001,0.01,0.189897,0.119029,1
10,0,0,0,0,0
11,0.001,0.01,0.0375208,-0.0109111,1
12,0,0,0,0,0
13,0.001,0.01,0.104137,0.0918055,1
14,0,0,0,0,0
15,0.001,0.01,-0.0274176,0.284864,1
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
